city,year,quarter,temp_mean_c,temp_min_c,temp_max_c,rainy_days,rainy_day_frac
București,2023,Q3,24.39782608695652,11.4,37.9,31,0.33695652173913043
București,2023,Q4,9.767391304347827,-3.6,28.2,37,0.40217391304347827
București,2024,Q1,5.94945054945055,-9.3,25.7,31,0.34065934065934067
București,2024,Q2,18.77307692307692,4.9,36.1,45,0.4945054945054945
București,2024,Q3,24.89184782608696,10.2,38.8,33,0.358695652173913
București,2024,Q4,7.7771739130434785,-3.0,27.2,35,0.3804347826086957
București,2025,Q1,4.276666666666666,-16.8,23.8,31,0.34444444444444444
București,2025,Q2,17.445054945054945,-1.2,37.1,47,0.5164835164835165
București,2025,Q3,24.092934782608697,9.0,40.4,25,0.2717391304347826
București,2025,Q4,11.476666666666667,5.3,19.1,13,0.8666666666666667
Cluj-Napoca,2023,Q1,3.3938888888888887,-13.9,18.7,50,0.5555555555555556
Cluj-Napoca,2023,Q2,13.977472527472528,-1.7,29.1,71,0.7802197802197802
Cluj-Napoca,2023,Q3,20.855978260869566,9.2,34.6,50,0.5434782608695652
Cluj-Napoca,2023,Q4,6.741847826086956,-5.1,26.1,46,0.5
Cluj-Napoca,2024,Q1,4.803846153846154,-8.1,25.2,52,0.5714285714285714
Cluj-Napoca,2024,Q2,16.516483516483518,-1.2,33.9,53,0.5824175824175825
Cluj-Napoca,2024,Q3,21.67391304347826,7.2,36.0,43,0.4673913043478261
Cluj-Napoca,2024,Q4,5.0076086956521735,-6.0,22.3,35,0.3804347826086957
Cluj-Napoca,2025,Q1,3.3738888888888887,-8.7,21.0,34,0.37777777777777777
Cluj-Napoca,2025,Q2,14.79065934065934,-4.1,32.1,45,0.4945054945054945
Cluj-Napoca,2025,Q3,20.059239130434783,3.9,36.0,43,0.4673913043478261
Cluj-Napoca,2025,Q4,9.58,3.8,15.7,12,0.8
Constanța,2023,Q1,6.2555555555555555,-7.6,19.9,45,0.5
Constanța,2023,Q2,15.484065934065933,1.5,28.9,50,0.5494505494505495
Constanța,2023,Q3,23.74836956521739,12.5,34.7,28,0.30434782608695654
Constanța,2023,Q4,11.553260869565218,-3.7,32.5,34,0.3695652173913043
Constanța,2024,Q1,6.6791208791208785,-7.9,24.2,33,0.3626373626373626
Constanța,2024,Q2,17.853846153846153,6.6,32.9,35,0.38461538461538464
Constanța,2024,Q3,23.875543478260873,9.7,36.0,36,0.391304347826087
Constanța,2024,Q4,8.711413043478261,-3.8,27.6,35,0.3804347826086957
Constanța,2025,Q1,5.822777777777778,-8.5,29.5,27,0.3
Constanța,2025,Q2,16.056593406593407,-0.9,34.4,43,0.4725274725274725
Constanța,2025,Q3,22.952173913043477,9.9,36.3,20,0.21739130434782608
Constanța,2025,Q4,13.413333333333332,6.8,20.2,10,0.6666666666666666
Craiova,2023,Q1,5.526111111111112,-14.8,19.7,43,0.4777777777777778
Craiova,2023,Q2,16.37967032967033,1.2,31.6,66,0.7252747252747253
Craiova,2023,Q3,24.80217391304348,12.5,37.8,34,0.3695652173913043
Craiova,2023,Q4,10.233695652173912,-3.4,29.0,35,0.3804347826086957
Craiova,2024,Q1,7.062087912087912,-9.7,27.1,32,0.3516483516483517
Craiova,2024,Q2,19.75934065934066,3.8,38.2,52,0.5714285714285714
Craiova,2024,Q3,25.847826086956523,8.6,39.7,25,0.2717391304347826
Craiova,2024,Q4,8.063586956521739,-3.0,25.7,29,0.31521739130434784
Craiova,2025,Q1,5.07,-7.3,22.5,30,0.3333333333333333
Craiova,2025,Q2,18.576373626373627,-1.6,38.3,41,0.45054945054945056
Craiova,2025,Q3,24.589130434782607,8.2,41.0,29,0.31521739130434784
Craiova,2025,Q4,11.79,4.9,19.4,9,0.6
Galați,2023,Q1,4.607222222222222,-16.8,19.5,43,0.4777777777777778
Galați,2023,Q2,16.319230769230767,2.1,33.3,51,0.5604395604395604
Galați,2023,Q3,24.186956521739127,11.4,36.6,27,0.29347826086956524
Galați,2023,Q4,9.867934782608696,-3.3,30.8,35,0.3804347826086957
Galați,2024,Q1,5.951648351648352,-9.1,26.3,28,0.3076923076923077
Galați,2024,Q2,19.358241758241757,5.5,35.2,32,0.3516483516483517
Galați,2024,Q3,24.707608695652173,10.2,39.7,31,0.33695652173913043
Galați,2024,Q4,7.621195652173912,-2.1,25.5,32,0.34782608695652173
Galați,2025,Q1,5.071111111111111,-8.7,23.5,29,0.32222222222222224
