city,year,month,temp_mean_c,temp_min_c,temp_max_c,rainy_days,rainy_day_frac
Bacău,2025,6,21.470000000000002,11.1,32.3,13,0.43333333333333335
Bacău,2025,7,23.14032258064516,13.5,35.0,15,0.4838709677419355
Bacău,2025,8,21.86935483870968,7.7,31.0,7,0.22580645161290322
Bacău,2025,9,17.948333333333334,2.6,31.7,10,0.3333333333333333
Bacău,2025,10,9.92,4.2,17.6,12,0.8
Brașov,2023,1,2.9274193548387095,-6.1,14.3,19,0.6129032258064516
Brașov,2023,2,-0.8892857142857142,-14.8,12.9,19,0.6785714285714286
Brașov,2023,3,4.91774193548387,-4.3,16.8,17,0.5483870967741935
Brașov,2023,4,7.11,-1.7,18.9,28,0.9333333333333333
Brașov,2023,5,13.098387096774195,1.5,23.0,21,0.6774193548387096
Brașov,2023,6,17.375,8.9,27.7,24,0.8
Brașov,2023,7,20.43064516129032,10.0,31.9,24,0.7741935483870968
Brașov,2023,8,21.27741935483871,9.7,33.2,15,0.4838709677419355
Brașov,2023,9,18.395,8.3,29.7,11,0.36666666666666664
Brașov,2023,10,12.824193548387097,-1.5,27.3,12,0.3870967741935484
Brașov,2023,11,5.326666666666666,-5.9,18.1,23,0.7666666666666667
Brașov,2023,12,2.588709677419355,-4.7,17.1,17,0.5483870967741935
Brașov,2024,1,-1.1983870967741934,-13.0,12.8,17,0.5483870967741935
Brașov,2024,2,5.348275862068966,-4.4,16.7,13,0.4482758620689655
Brașov,2024,3,6.716129032258064,-3.6,25.4,21,0.6774193548387096
Brașov,2024,4,11.691666666666666,-1.0,26.5,16,0.5333333333333333
Brașov,2024,5,13.270967741935483,3.0,24.4,19,0.6129032258064516
Brașov,2024,6,20.663333333333334,10.9,31.7,22,0.7333333333333333
Brașov,2024,7,22.22741935483871,11.7,34.7,14,0.45161290322580644
Brașov,2024,8,21.853225806451615,12.5,33.3,17,0.5483870967741935
Brașov,2024,9,16.158333333333335,5.6,28.2,13,0.43333333333333335
Brașov,2024,10,10.211290322580645,-2.3,22.9,10,0.3225806451612903
Brașov,2024,11,2.768333333333333,-10.2,13.8,11,0.36666666666666664
Brașov,2024,12,1.3548387096774193,-6.2,9.0,17,0.5483870967741935
Brașov,2025,1,1.1629032258064516,-12.2,15.2,9,0.2903225806451613
Brașov,2025,2,-1.9642857142857142,-18.3,13.0,9,0.32142857142857145
Brașov,2025,3,7.146774193548387,-6.6,22.7,18,0.5806451612903226
Brașov,2025,4,9.283333333333333,-3.7,25.5,20,0.6666666666666666
Brașov,2025,5,11.94032258064516,2.6,24.8,26,0.8387096774193549
Brașov,2025,6,19.901666666666664,9.4,31.9,14,0.4666666666666667
Brașov,2025,7,21.229032258064517,9.8,35.1,18,0.5806451612903226
Brașov,2025,8,19.67258064516129,6.5,31.1,14,0.45161290322580644
Brașov,2025,9,16.468333333333334,2.7,29.7,11,0.36666666666666664
Brașov,2025,10,8.12,2.2,13.9,14,0.9333333333333333
București,2023,1,4.909677419354838,-4.3,19.1,13,0.41935483870967744
București,2023,2,3.5767857142857147,-8.3,20.3,10,0.35714285714285715
București,2023,3,8.325806451612904,-3.4,21.5,14,0.45161290322580644
București,2023,4,10.79,0.4,20.9,23,0.7666666666666667
București,2023,5,16.451612903225808,5.4,27.1,18,0.5806451612903226
București,2023,6,21.511666666666667,12.1,32.6,15,0.5
București,2023,7,25.467741935483872,13.4,37.5,16,0.5161290322580645
București,2023,8,25.88064516129032,13.9,37.9,12,0.3870967741935484
București,2023,9,21.759999999999998,11.4,31.4,3,0.1
București,2023,10,16.362903225806452,4.3,28.2,9,0.2903225806451613
București,2023,11,8.471666666666668,-3.6,20.3,16,0.5333333333333333
București,2023,12,4.425806451612903,-2.7,16.5,12,0.3870967741935484
București,2024,1,1.3112903225806452,-9.3,13.5,10,0.3225806451612903
București,2024,2,8.191379310344827,-3.5,19.6,8,0.27586206896551724
București,2024,3,8.490322580645161,-1.6,25.7,13,0.41935483870967744
București,2024,4,14.963333333333333,4.9,27.7,16,0.5333333333333333
București,2024,5,16.24032258064516,7.0,27.8,19,0.6129032258064516
București,2024,6,25.2,15.8,36.1,10,0.3333333333333333
București,2024,7,27.39032258064516,17.3,38.8,10,0.3225806451612903
București,2024,8,26.593548387096774,15.9,35.9,10,0.3225806451612903
București,2024,9,20.551666666666666,10.2,33.9,13,0.43333333333333335
București,2024,10,13.912903225806453,1.5,27.2,7,0.22580645161290322
București,2024,11,5.368333333333334,-3.0,20.0,11,0.36666666666666664
București,2024,12,3.97258064516129,-2.1,14.4,17,0.5483870967741935
București,2025,1,4.424193548387097,-4.4,16.3,7,0.22580645161290322
București,2025,2,-1.9946428571428572,-16.8,10.7,7,0.25
București,2025,3,9.793548387096775,-3.0,23.8,17,0.5483870967741935
București,2025,4,12.15,-1.2,26.3,15,0.5
București,2025,5,16.230645161290322,6.0,29.5,24,0.7741935483870968
București,2025,6,23.995,13.0,37.1,8,0.26666666666666666
București,2025,7,26.848387096774193,15.3,40.4,10,0.3225806451612903
București,2025,8,24.86935483870968,13.2,36.5,8,0.25806451612903225
București,2025,9,20.44333333333333,9.0,35.4,7,0.23333333333333334
București,2025,10,11.476666666666667,5.3,19.1,13,0.8666666666666667
Cluj-Napoca,2023,1,3.425806451612903,-5.2,13.3,19,0.6129032258064516
Cluj-Napoca,2023,2,0.6124999999999999,-13.9,12.1,16,0.5714285714285714
Cluj-Napoca,2023,3,5.874193548387097,-3.9,18.7,15,0.4838709677419355
Cluj-Napoca,2023,4,8.378333333333334,-1.7,18.4,24,0.8
Cluj-Napoca,2023,5,14.94032258064516,4.0,24.3,20,0.6451612903225806
Cluj-Napoca,2023,6,18.581666666666667,9.0,29.1,27,0.9
Cluj-Napoca,2023,7,21.414516129032258,9.2,31.5,22,0.7096774193548387
Cluj-Napoca,2023,8,22.230645161290322,10.1,34.6,18,0.5806451612903226
Cluj-Napoca,2023,9,18.858333333333334,9.4,28.2,10,0.3333333333333333
Cluj-Napoca,2023,10,12.791935483870969,-0.3,26.1,12,0.3870967741935484
Cluj-Napoca,2023,11,5.401666666666667,-4.9,18.4,22,0.7333333333333333
Cluj-Napoca,2023,12,1.988709677419355,-5.1,14.5,12,0.3870967741935484
Cluj-Napoca,2024,1,0.3483870967741935,-8.1,11.5,19,0.6129032258064516
Cluj-Napoca,2024,2,6.356896551724137,-6.1,16.3,15,0.5172413793103449
Cluj-Napoca,2024,3,7.806451612903226,-3.4,25.2,18,0.5806451612903226
Cluj-Napoca,2024,4,12.486666666666668,-1.2,28.2,15,0.5
Cluj-Napoca,2024,5,15.625806451612904,4.6,25.3,19,0.6129032258064516
Cluj-Napoca,2024,6,21.466666666666665,11.6,33.9,19,0.6333333333333333
Cluj-Napoca,2024,7,23.269354838709678,12.9,36.0,16,0.5161290322580645
Cluj-Napoca,2024,8,23.529032258064515,13.3,34.8,15,0.4838709677419355
Cluj-Napoca,2024,9,18.108333333333334,7.2,31.1,12,0.4
Cluj-Napoca,2024,10,10.254838709677419,-1.1,22.3,9,0.2903225806451613
Cluj-Napoca,2024,11,3.11,-6.0,14.7,10,0.3333333333333333
Cluj-Napoca,2024,12,1.596774193548387,-4.3,9.6,16,0.5161290322580645
Cluj-Napoca,2025,1,1.6290322580645162,-8.3,14.2,12,0.3870967741935484
Cluj-Napoca,2025,2,-0.005357142857142806,-8.7,13.2,5,0.17857142857142858
Cluj-Napoca,2025,3,8.170967741935485,-3.6,21.0,17,0.5483870967741935
Cluj-Napoca,2025,4,10.851666666666667,-4.1,26.0,17,0.5666666666666667
Cluj-Napoca,2025,5,12.612903225806452,2.2,26.2,22,0.7096774193548387
Cluj-Napoca,2025,6,20.98,10.2,32.1,6,0.2
Cluj-Napoca,2025,7,21.708064516129035,11.3,36.0,17,0.5483870967741935
Cluj-Napoca,2025,8,20.853225806451615,5.8,33.4,11,0.3548387096774194
Cluj-Napoca,2025,9,17.535,3.9,29.7,15,0.5
Cluj-Napoca,2025,10,9.58,3.8,15.7,12,0.8
Constanța,2023,1,6.598387096774194,-4.4,18.1,16,0.5161290322580645
Constanța,2023,2,4.110714285714286,-7.6,19.2,12,0.42857142857142855
Constanța,2023,3,7.85,-0.9,19.9,17,0.5483870967741935
Constanța,2023,4,10.465,1.5,19.9,21,0.7
Constanța,2023,5,15.437096774193549,6.2,25.2,15,0.4838709677419355
Constanța,2023,6,20.551666666666666,12.9,28.9,14,0.4666666666666667
Constanța,2023,7,24.501612903225805,14.9,34.7,11,0.3548387096774194
Constanța,2023,8,24.919354838709676,14.1,34.6,9,0.2903225806451613
Constanța,2023,9,21.759999999999998,12.5,29.5,8,0.26666666666666666
Constanța,2023,10,17.95483870967742,3.9,32.5,5,0.16129032258064516
Constanța,2023,11,10.211666666666668,-3.7,23.2,20,0.6666666666666666
Constanța,2023,12,6.449999999999999,-1.1,19.9,9,0.2903225806451613
Constanța,2024,1,2.9983870967741937,-7.9,15.1,14,0.45161290322580644
Constanța,2024,2,8.870689655172415,-3.2,19.8,5,0.1724137931034483
Constanța,2024,3,8.30967741935484,-0.2,24.2,14,0.45161290322580644
Constanța,2024,4,15.43,6.6,29.7,14,0.4666666666666667
Constanța,2024,5,15.05967741935484,6.6,25.5,16,0.5161290322580645
Constanța,2024,6,23.165000000000003,15.5,32.9,5,0.16666666666666666
Constanța,2024,7,26.48709677419355,18.0,36.0,13,0.41935483870967744
Constanța,2024,8,24.830645161290324,16.6,33.7,10,0.3225806451612903
Constanța,2024,9,20.19,9.7,29.7,13,0.43333333333333335
Constanța,2024,10,13.78225806451613,2.5,27.6,7,0.22580645161290322
Constanța,2024,11,6.908333333333333,-3.8,19.6,11,0.36666666666666664
Constanța,2024,12,5.385483870967741,-3.7,16.1,17,0.5483870967741935
Constanța,2025,1,6.20483870967742,-3.9,18.8,5,0.16129032258064516
Constanța,2025,2,0.44821428571428573,-8.5,12.1,9,0.32142857142857145
Constanța,2025,3,10.29516129032258,-2.7,29.5,13,0.41935483870967744
Constanța,2025,4,10.323333333333332,-0.9,24.5,13,0.43333333333333335
Constanța,2025,5,15.119354838709677,5.3,24.8,23,0.7419354838709677
Constanța,2025,6,22.758333333333333,12.7,34.4,7,0.23333333333333334
Constanța,2025,7,25.287096774193547,16.6,36.3,5,0.16129032258064516
Constanța,2025,8,23.670967741935485,13.4,33.1,7,0.22580645161290322
Constanța,2025,9,19.796666666666667,9.9,31.8,8,0.26666666666666666
Constanța,2025,10,13.413333333333332,6.8,20.2,10,0.6666666666666666
Craiova,2023,1,4.809677419354839,-3.4,18.2,18,0.5806451612903226
Craiova,2023,2,3.0375,-14.8,19.3,8,0.2857142857142857
Craiova,2023,3,8.490322580645161,-1.9,19.7,17,0.5483870967741935
Craiova,2023,4,11.143333333333334,1.2,21.2,22,0.7333333333333333
Craiova,2023,5,16.862903225806452,6.8,26.6,24,0.7741935483870968
Craiova,2023,6,21.116666666666667,12.5,31.6,20,0.6666666666666666
Craiova,2023,7,25.779032258064515,13.7,36.8,11,0.3548387096774194
Craiova,2023,8,26.201612903225808,14.6,37.8,13,0.41935483870967744
Craiova,2023,9,22.346666666666668,12.5,33.3,10,0.3333333333333333
Craiova,2023,10,16.970967741935485,4.5,29.0,7,0.22580645161290322
Craiova,2023,11,8.788333333333332,-3.4,20.3,17,0.5666666666666667
Craiova,2023,12,4.895161290322581,-2.5,17.2,11,0.3548387096774194
Craiova,2024,1,2.267741935483871,-9.7,13.8,11,0.3548387096774194
Craiova,2024,2,8.99655172413793,-5.4,18.9,5,0.1724137931034483
Craiova,2024,3,10.046774193548387,-0.9,27.1,16,0.5161290322580645
Craiova,2024,4,15.794999999999998,3.8,30.9,15,0.5
Craiova,2024,5,17.293548387096774,7.8,27.5,23,0.7419354838709677
Craiova,2024,6,26.271666666666665,13.9,38.2,14,0.4666666666666667
Craiova,2024,7,28.42096774193548,15.1,39.7,8,0.25806451612903225
Craiova,2024,8,27.969354838709677,17.4,39.5,8,0.25806451612903225
Craiova,2024,9,20.996666666666666,8.6,34.5,9,0.3
Craiova,2024,10,14.2,1.4,25.7,5,0.16129032258064516
Craiova,2024,11,5.5216666666666665,-3.0,22.3,11,0.36666666666666664
Craiova,2024,12,4.387096774193548,-2.1,15.1,13,0.41935483870967744
Craiova,2025,1,4.020967741935484,-6.0,16.9,7,0.22580645161290322
Craiova,2025,2,0.5964285714285714,-7.3,14.2,8,0.2857142857142857
Craiova,2025,3,10.15967741935484,-6.6,22.5,15,0.4838709677419355
Craiova,2025,4,13.425,-1.6,26.2,16,0.5333333333333333
Craiova,2025,5,16.698387096774194,6.4,28.8,18,0.5806451612903226
Craiova,2025,6,25.668333333333333,14.9,38.3,7,0.23333333333333334
Craiova,2025,7,27.04032258064516,14.6,41.0,13,0.41935483870967744
Craiova,2025,8,25.34032258064516,12.9,38.9,6,0.1935483870967742
Craiova,2025,9,21.279999999999998,8.2,34.8,10,0.3333333333333333
Craiova,2025,10,11.79,4.9,19.4,9,0.6
Galați,2023,1,4.458064516129032,-8.0,17.5,17,0.5483870967741935
Galați,2023,2,1.2125000000000001,-16.8,16.3,13,0.4642857142857143
Galați,2023,3,7.82258064516129,-1.4,19.5,13,0.41935483870967744
Galați,2023,4,10.57,2.1,18.9,23,0.7666666666666667
Galați,2023,5,16.620967741935484,6.1,26.1,14,0.45161290322580644
Galați,2023,6,21.756666666666668,12.9,33.3,14,0.4666666666666667
Galați,2023,7,25.16290322580645,14.6,36.6,13,0.41935483870967744
Galați,2023,8,25.746774193548386,14.9,35.8,8,0.25806451612903225
Galați,2023,9,21.566666666666666,11.4,31.1,6,0.2
Galați,2023,10,16.830645161290324,4.1,30.8,4,0.12903225806451613
Galați,2023,11,8.413333333333334,-2.9,22.8,19,0.6333333333333333
Galați,2023,12,4.312903225806451,-3.3,16.2,12,0.3870967741935484
Galați,2024,1,1.435483870967742,-9.1,13.9,13,0.41935483870967744
Galați,2024,2,8.1,-4.4,19.5,5,0.1724137931034483
Galați,2024,3,8.458064516129031,0.0,26.3,10,0.3225806451612903
Galați,2024,4,16.041666666666668,5.5,30.3,14,0.4666666666666667
Galați,2024,5,17.12741935483871,7.3,28.5,8,0.25806451612903225
Galați,2024,6,24.98,16.5,35.2,10,0.3333333333333333
Galați,2024,7,27.570967741935487,17.0,39.7,9,0.2903225806451613
Galați,2024,8,26.103225806451615,17.9,35.6,8,0.25806451612903225
